objectHCG,groupNumber,ra_deg,dec_deg,cz
"HCG01a",1,6.52971,25.7252,10237
"HCG01b",1,6.52479,25.7193,10266
"HCG01c",1,6.47671,25.7237,10056
"HCG01d",1,6.49504,25.7252,10120
"HCG06a",6,9.80746,-8.39431,11668
"HCG06b",6,9.79258,-8.39711,11377
"HCG06c",6,9.79608,-8.39981,10967
"HCG06d",6,9.78154,-8.401,11434
"HCG07a",7,9.80596,0.864333,4133
"HCG07b",7,9.82433,0.91275,4255
"HCG07c",7,9.89508,0.859889,4415
"HCG07d",7,9.82829,0.891917,4121
"HCG08a",8,12.3923,23.5783,16077
"HCG08b",8,12.3968,23.5916,15981
"HCG08c",8,12.3989,23.5841,17019
"HCG08d",8,12.4026,23.5734,16302
"HCG10a",10,21.5907,34.703,5189
"HCG10b",10,21.4183,34.7133,4822
"HCG10c",10,21.5788,34.7539,4660
"HCG10d",10,21.6287,34.6753,4662
"HCG12a",12,21.8892,-4.683,14338
"HCG12b",12,21.8934,-4.65211,14956
"HCG12c",12,21.9059,-4.66119,14569
"HCG12d",12,21.9048,-4.66875,14241
"HCG12e",12,21.866,-4.67742,14469
"HCG13a",13,23.0854,-7.85956,12469
"HCG13b",13,23.093,-7.87319,12407
"HCG13c",13,23.0966,-7.87958,12756
"HCG13d",13,23.0798,-7.89606,12209
"HCG13e",13,23.1083,-7.86953,12593
"HCG15a",15,31.9712,2.16761,6967
"HCG15b",15,31.8921,2.11519,7117
"HCG15c",15,31.9158,2.14967,7256
"HCG15d",15,31.9062,2.18069,6244
"HCG15e",15,31.8553,2.11611,7197
"HCG15f",15,31.9075,2.19039,6242
"HCG16a",16,32.3525,-10.1359,4073
"HCG16b",16,32.3368,-10.1331,3864
"HCG16c",16,32.4105,-10.1467,3851
"HCG16d",16,32.4289,-10.1841,3874
"HCG17a",17,33.5213,13.3111,18228
"HCG17b",17,33.516,13.3131,18019
"HCG17c",17,33.5209,13.3173,18224
"HCG17d",17,33.5316,13.3066,17487
"HCG17e",17,33.5175,13.3191,17976
"HCG20a",20,41.0503,26.0994,14477
"HCG20b",20,41.0523,26.1095,14424
"HCG20c",20,41.0568,26.1056,15032
"HCG20e",20,41.0698,26.1029,14312
"HCG20f",20,41.0716,26.1113,14280
"HCG21a",21,41.3251,-17.7084,7552
"HCG21b",21,41.4003,-17.6889,7293
"HCG21c",21,41.2236,-17.6591,7453
"HCG21d",21,41.3732,-17.5423,8715
"HCG21e",21,41.3435,-17.5332,8819
"HCG23a",23,46.7334,-9.54417,4869
"HCG23b",23,46.7894,-9.59267,4877
"HCG23c",23,46.8273,-9.61281,5373
"HCG23d",23,46.7306,-9.62892,4467
