"ObjectName","RA_deg","Dec_deg","groupNumber","ANG_SIZE_MAJ","ANG_SIZE_MIN"
"HCG01a",6.52971,25.7252,1,1.25,0.9
"HCG01b",6.52479,25.7193,1,1.43,0.36
"HCG01c",6.47671,25.7237,1,0.36,0.36
"HCG01d",6.49504,25.7252,1,0.28,0.16
"HCG06a",9.80746,-8.39431,6,0.48,0.24
"HCG06b",9.79258,-8.39711,6,0.71,0.29
"HCG06c",9.79608,-8.39981,6,0.73,0.37
"HCG06d",9.78154,-8.401,6,0.3,0.16
"HCG07a",9.80596,0.864333,7,1.9,0.9
"HCG07b",9.82433,0.91275,7,1.2,0.8
"HCG07c",9.89508,0.859889,7,1.75,1.15
"HCG07d",9.82829,0.891917,7,0.95,0.76
"HCG08a",12.3923,23.5783,8,0.9,0.7
"HCG08b",12.3968,23.5916,8,0.3,0.1
"HCG08c",12.3989,23.5841,8,0.2,0.2
"HCG08d",12.4026,23.5734,8,0.52,0.44
"HCG10a",21.5907,34.703,10,3,1.1
"HCG10b",21.4183,34.7133,10,2.4,2.1
"HCG10c",21.5788,34.7539,10,1.9,0.5
"HCG10d",21.6287,34.6753,10,1,0.2
"HCG12a",21.8892,-4.683,12,0.76,0.53
"HCG12b",21.8934,-4.65211,12,0.62,0.39
"HCG12c",21.9059,-4.66119,12,0.4,0.18
"HCG12d",21.9048,-4.66875,12,0.48,0.28
"HCG12e",21.866,-4.67742,12,0.23,0.15
"HCG13a",23.0854,-7.85956,13,1,0.5
"HCG13b",23.093,-7.87319,13,0.66,0.6
"HCG13c",23.0966,-7.87958,13,0.36,0.19
"HCG13d",23.0798,-7.89606,13,0.23,0.16
"HCG13e",23.1083,-7.86953,13,0.3,0.17
"HCG15a",31.9712,2.16761,15,1.1,0.5
"HCG15b",31.8921,2.11519,15,0.8,0.7
"HCG15c",31.9158,2.14967,15,0.8,0.8
"HCG15d",31.9062,2.18069,15,0.9,0.8
"HCG15e",31.8553,2.11611,15,0.3,0.3
"HCG15f",31.9075,2.19039,15,0.56,0.33
"HCG16a",32.3525,-10.1359,16,1.3,1
"HCG16b",32.3368,-10.1331,16,1.76,0.67
"HCG16c",32.4105,-10.1467,16,1.1,0.9
"HCG16d",32.4289,-10.1841,16,1.4,0.7
"HCG17a",33.5213,13.3111,17,0.36,0.34
"HCG17b",33.516,13.3131,17,0.54,0.43
"HCG17c",33.5209,13.3173,17,0.27,0.2
"HCG17d",33.5316,13.3066,17,0.18,0.18
"HCG17e",33.5175,13.3191,17,0.11,0.09
"HCG20a",41.0503,26.0994,20,0.48,0.18
"HCG20b",41.0523,26.1095,20,0.31,0.17
"HCG20c",41.0568,26.1056,20,0.31,0.28
"HCG20e",41.0698,26.1029,20,0.18,0.14
"HCG20f",41.0716,26.1113,20,0.21,0.1
"HCG21a",41.3251,-17.7084,21,1.8,0.6
"HCG21b",41.4003,-17.6889,21,1.7,0.7
"HCG21c",41.2236,-17.6591,21,1.8,1.3
