#ObjectName,RA,Dec,limit_cz,cz,Redshift,Redshift_uncertainty,zQual,MajorDiam,MinorDiam
HCG01a,00:26:07.13,+25:43:30.7,,10237,0.034147,0.000130,,1.25,0.90
HCG01b,00:26:05.95,+25:43:09.6,,10266,0.034244,0.000133,,1.43,0.36
HCG01c,00:25:54.41,+25:43:25.2,,10056,0.033543,0.000113,,0.36,0.36
HCG01d,00:25:58.81,+25:43:30.7,,10120,0.033757,0.000157,,0.28,0.16
HCG06a,00:39:13.79,-08:23:39.5,,11668,0.038920,0.000150,,0.48,0.24
HCG06b,00:39:10.22,-08:23:49.6,,11377,0.037950,0.000203,,0.71,0.29
HCG06c,00:39:11.06,-08:23:59.3,,10967,0.036582,0.000203,,0.73,0.37
HCG06d,00:39:07.57,-08:24:03.6,,11434,0.038140,0.000207,,0.30,0.16
HCG07a,00:39:13.43,+00:51:51.6,,4133,0.013787,0.000008,,1.9,0.9
HCG07b,00:39:17.84,+00:54:45.9,,4255,0.014193,0.000080,,1.2,0.8
HCG07c,00:39:34.82,+00:51:35.6,,4415,0.014728,0.000062,,1.75,1.15
HCG07d,00:39:18.79,+00:53:30.9,,4121,0.013746,0.000059,,0.95,0.76
HCG08a,00:49:34.15,+23:34:41.7,,16077,0.053627,0.000117,,0.9,0.7
HCG08b,00:49:35.24,+23:35:29.6,,15981,0.053307,0.000103,,0.3,0.1
HCG08c,00:49:35.74,+23:35:02.9,,17019,0.056769,0.000097,,0.2,0.2
HCG08d,00:49:36.63,+23:34:24.2,,16302,0.054378,0.000100,,0.52,0.44
HCG10a,01:26:21.78,+34:42:10.9,,5189,0.017309,0.000017,,3.0,1.1
HCG10b,01:25:40.40,+34:42:48.0,,4822,0.016084,0.000060,,2.4,2.1
HCG10c,01:26:18.90,+34:45:14.0,,4660,0.015544,0.000107,,1.9,0.5
HCG10d,01:26:30.90,+34:40:31.0,,4662,0.015551,0.000027,,1.0,0.2
HCG12a,01:27:33.40,-04:40:58.8,,14338,0.047826,0.000150,,0.76,0.53
HCG12b,01:27:34.41,-04:39:07.6,,14956,0.049888,0.000127,,0.62,0.39
HCG12c,01:27:37.41,-04:39:40.3,,14569,0.048597,0.000220,,0.40,0.18
HCG12d,01:27:37.16,-04:40:07.5,,14241,0.047503,0.000207,,0.48,0.28
HCG12e,01:27:27.85,-04:40:38.7,,14469,0.048263,0.000207,,0.23,0.15
HCG13a,01:32:20.49,-07:51:34.4,,12469,0.041592,0.000140,,1.0,0.5
HCG13b,01:32:22.31,-07:52:23.5,,12407,0.041385,0.000150,,0.66,0.60
HCG13c,01:32:23.19,-07:52:46.5,,12756,0.042549,0.000150,,0.36,0.19
HCG13d,01:32:19.14,-07:53:45.8,,12209,0.040725,0.000357,,0.23,0.16
HCG13e,01:32:25.99,-07:52:10.3,,12593,0.042006,0.000203,,0.30,0.17
HCG15a,02:07:53.08,+02:10:03.4,,6967,0.023239,0.000100,,1.1,0.5
HCG15b,02:07:34.10,+02:06:54.7,,7117,0.023740,0.000120,,0.8,0.7
HCG15c,02:07:39.78,+02:08:58.8,,7256,0.024203,0.000050,,0.8,0.8
HCG15d,02:07:37.49,+02:10:50.5,,6244,0.020828,0.000120,,0.9,0.8
HCG15e,02:07:25.28,+02:06:58.0,,7197,0.024007,0.000107,,0.3,0.3
HCG15f,02:07:37.79,+02:11:25.4,,6242,0.020821,0.000340,,0.56,0.33
HCG16a,02:09:24.60,-10:08:09.3,,4073,0.013586,0.000033,,1.3,1.0
HCG16b,02:09:20.84,-10:07:59.1,,3864,0.012889,0.000033,,1.76,0.67
HCG16c,02:09:38.53,-10:08:48.1,,3851,0.012844,0.000004,,1.1,0.9
HCG16d,02:09:42.93,-10:11:02.7,,3874,0.012922,0.000017,,1.4,0.7
HCG17a,02:14:05.12,+13:18:39.8,,18228,0.060802,0.000147,,0.36,0.34
HCG17b,02:14:03.85,+13:18:47.3,,18019,0.060105,0.000095,,0.54,0.43
HCG17c,02:14:05.02,+13:19:02.3,,18224,0.060789,0.000350,,0.27,0.20
HCG17d,02:14:07.59,+13:18:23.6,,17487,0.058331,0.000068,,0.18,0.18
HCG17e,02:14:04.21,+13:19:08.6,,17976,0.059961,0.000474,:,0.11,0.09
HCG20a,02:44:12.07,+26:05:57.8,,14477,0.048290,0.000150,,0.48,0.18
HCG20b,02:44:12.55,+26:06:34.3,,14424,0.048113,0.000140,,0.31,0.17
HCG20c,02:44:13.62,+26:06:20.2,,15032,0.050141,0.000150,,0.31,0.28
HCG20e,02:44:16.74,+26:06:10.3,,14312,0.047740,0.000163,,0.18,0.14
HCG20f,02:44:17.18,+26:06:40.8,,14280,0.047633,0.000207,,0.21,0.10
HCG21a,02:45:18.02,-17:42:30.1,,7552,0.025191,0.000033,,1.8,0.6
HCG21b,02:45:36.07,-17:41:20.2,,7293,0.024327,0.000083,,1.7,0.7
HCG21c,02:44:53.67,-17:39:32.9,,7453,0.024861,0.000087,,1.8,1.3
HCG21d,02:45:29.57,-17:32:32.2,,8715,0.029070,0.000150,,0.9,0.8
HCG21e,02:45:22.43,-17:31:59.4,,8819,0.029417,0.000110,,0.9,0.6
HCG23a,03:06:56.02,-09:32:39.0,,4869,0.016241,0.000050,,1.3,0.3
HCG23b,03:07:09.46,-09:35:33.6,,4877,0.016268,0.000037,,1.5,1.1
HCG23c,03:07:18.54,-09:36:46.1,,5373,0.017922,0.000040,,0.8,0.2
HCG23d,03:06:55.35,-09:37:44.1,,4467,0.014900,0.000070,,0.64,0.51
HCG24a,03:20:15.16,-10:51:47.1,,9248,0.030848,0.000137,,0.5,0.4
HCG24b,03:20:22.61,-10:52:01.0,,9137,0.030478,0.000147,,0.4,0.4
HCG24c,03:20:12.76,-10:51:47.8,,9283,0.030965,0.000364,,0.40,0.28
HCG24d,03:20:20.08,-10:51:28.6,,8779,0.029284,0.000203,,0.22,0.16
HCG24e,03:20:17.94,-10:52:01.8,,9323,0.031098,0.000203,,0.16,0.15
HCG25a,03:20:42.94,-01:06:30.9,,6285,0.020965,0.000100,,1.3,0.6
HCG25b,03:20:45.41,-01:02:40.9,,6331,0.021118,0.000027,,0.97,0.64
HCG25d,03:20:38.55,-01:02:06.1,,6322,0.021087,0.000070,,0.16,0.11
HCG25f,03:20:45.33,-01:03:14.3,,6244,0.020829,0.000059,,0.70,0.34
HCG26a,03:21:55.28,-13:39:00.5,,9678,0.032282,0.000167,,0.90,0.11
HCG26b,03:21:56.42,-13:38:54.7,,9332,0.031128,0.000130,,0.65,0.32
HCG26c,03:21:49.41,-13:38:41.5,,9618,0.032082,0.000207,,0.32,0.15
HCG26d,03:21:56.51,-13:38:42.2,,9133,0.030464,0.000207,,0.19,0.17
HCG26e,03:21:51.13,-13:39:48.0,,9623,0.032099,0.000167,,0.35,0.12
HCG26f,03:21:57.55,-13:39:46.5,,9626,0.032109,0.000153,,0.18,0.12
