#ObjectName,RA,Dec,RA_deg,Dec_deg,l_cz,cz,z,z_uncertainty,z_Qual,ANG_SIZE_MAJ,ANG_SIZE_MIN
HCG01a,00:26:07.13,+25:43:30.7,6.529708333333333,25.725194444444444,,10237,0.034147,1.3E-4,,1.25,0.9
HCG01b,00:26:05.95,+25:43:09.6,6.524791666666666,25.719333333333335,,10266,0.034244,1.33E-4,,1.43,0.36
HCG01c,00:25:54.41,+25:43:25.2,6.476708333333334,25.72366666666667,,10056,0.033543,1.13E-4,,0.36,0.36
HCG01d,00:25:58.81,+25:43:30.7,6.495041666666666,25.725194444444444,,10120,0.033757,1.57E-4,,0.28,0.16
HCG06a,00:39:13.79,-08:23:39.5,9.807458333333333,-8.394305555555556,,11668,0.03892,1.5E-4,,0.48,0.24
HCG06b,00:39:10.22,-08:23:49.6,9.792583333333333,-8.39711111111111,,11377,0.03795,2.03E-4,,0.71,0.29
HCG06c,00:39:11.06,-08:23:59.3,9.796083333333334,-8.399805555555556,,10967,0.036582,2.03E-4,,0.73,0.37
HCG06d,00:39:07.57,-08:24:03.6,9.781541666666667,-8.401,,11434,0.03814,2.07E-4,,0.3,0.16
HCG07a,00:39:13.43,+00:51:51.6,9.805958333333333,0.8643333333333333,,4133,0.013787,8.0E-6,,1.9,0.9
HCG07b,00:39:17.84,+00:54:45.9,9.824333333333334,0.9127500000000001,,4255,0.014193,8.0E-5,,1.2,0.8
HCG07c,00:39:34.82,+00:51:35.6,9.895083333333332,0.859888888888889,,4415,0.014728,6.2E-5,,1.75,1.15
HCG07d,00:39:18.79,+00:53:30.9,9.828291666666669,0.8919166666666666,,4121,0.013746,5.9E-5,,0.95,0.76
HCG08a,00:49:34.15,+23:34:41.7,12.392291666666669,23.57825,,16077,0.053627,1.17E-4,,0.9,0.7
HCG08b,00:49:35.24,+23:35:29.6,12.396833333333333,23.591555555555555,,15981,0.053307,1.03E-4,,0.3,0.1
HCG08c,00:49:35.74,+23:35:02.9,12.398916666666667,23.584138888888887,,17019,0.056769,9.7E-5,,0.2,0.2
HCG08d,00:49:36.63,+23:34:24.2,12.402625000000002,23.573388888888893,,16302,0.054378,1.0E-4,,0.52,0.44
HCG10a,01:26:21.78,+34:42:10.9,21.59075,34.70302777777777,,5189,0.017309,1.7E-5,,3.0,1.1
HCG10b,01:25:40.40,+34:42:48.0,21.418333333333333,34.71333333333333,,4822,0.016084,6.0E-5,,2.4,2.1
HCG10c,01:26:18.90,+34:45:14.0,21.578750000000003,34.75388888888889,,4660,0.015544,1.07E-4,,1.9,0.5
HCG10d,01:26:30.90,+34:40:31.0,21.62875,34.67527777777778,,4662,0.015551,2.7E-5,,1.0,0.2
HCG12a,01:27:33.40,-04:40:58.8,21.889166666666664,-4.683,,14338,0.047826,1.5E-4,,0.76,0.53
HCG12b,01:27:34.41,-04:39:07.6,21.893375,-4.652111111111111,,14956,0.049888,1.27E-4,,0.62,0.39
HCG12c,01:27:37.41,-04:39:40.3,21.905874999999998,-4.661194444444444,,14569,0.048597,2.2E-4,,0.4,0.18
HCG12d,01:27:37.16,-04:40:07.5,21.904833333333336,-4.668750000000001,,14241,0.047503,2.07E-4,,0.48,0.28
HCG12e,01:27:27.85,-04:40:38.7,21.866041666666664,-4.677416666666667,,14469,0.048263,2.07E-4,,0.23,0.15
HCG13a,01:32:20.49,-07:51:34.4,23.085375000000006,-7.859555555555556,,12469,0.041592,1.4E-4,,1.0,0.5
HCG13b,01:32:22.31,-07:52:23.5,23.092958333333332,-7.873194444444445,,12407,0.041385,1.5E-4,,0.66,0.6
HCG13c,01:32:23.19,-07:52:46.5,23.096625,-7.8795833333333345,,12756,0.042549,1.5E-4,,0.36,0.19
HCG13d,01:32:19.14,-07:53:45.8,23.07975,-7.896055555555556,,12209,0.040725,3.57E-4,,0.23,0.16
HCG13e,01:32:25.99,-07:52:10.3,23.108291666666663,-7.869527777777778,,12593,0.042006,2.03E-4,,0.3,0.17
HCG15a,02:07:53.08,+02:10:03.4,31.971166666666665,2.167611111111111,,6967,0.023239,1.0E-4,,1.1,0.5
HCG15b,02:07:34.10,+02:06:54.7,31.892083333333332,2.1151944444444446,,7117,0.02374,1.2E-4,,0.8,0.7
HCG15c,02:07:39.78,+02:08:58.8,31.915750000000003,2.1496666666666666,,7256,0.024203,5.0E-5,,0.8,0.8
HCG15d,02:07:37.49,+02:10:50.5,31.906208333333336,2.1806944444444443,,6244,0.020828,1.2E-4,,0.9,0.8
HCG15e,02:07:25.28,+02:06:58.0,31.85533333333333,2.1161111111111106,,7197,0.024007,1.07E-4,,0.3,0.3
HCG15f,02:07:37.79,+02:11:25.4,31.907458333333334,2.1903888888888887,,6242,0.020821,3.4E-4,,0.56,0.33
HCG16a,02:09:24.60,-10:08:09.3,32.3525,-10.135916666666667,,4073,0.013586,3.3E-5,,1.3,1.0
HCG16b,02:09:20.84,-10:07:59.1,32.33683333333334,-10.133083333333333,,3864,0.012889,3.3E-5,,1.76,0.67
HCG16c,02:09:38.53,-10:08:48.1,32.41054166666667,-10.146694444444444,,3851,0.012844,4.0E-6,,1.1,0.9
HCG16d,02:09:42.93,-10:11:02.7,32.428875,-10.184083333333334,,3874,0.012922,1.7E-5,,1.4,0.7
HCG17a,02:14:05.12,+13:18:39.8,33.52133333333333,13.311055555555553,,18228,0.060802,1.47E-4,,0.36,0.34
HCG17b,02:14:03.85,+13:18:47.3,33.516041666666666,13.31313888888889,,18019,0.060105,9.5E-5,,0.54,0.43
HCG17c,02:14:05.02,+13:19:02.3,33.520916666666665,13.317305555555556,,18224,0.060789,3.5E-4,,0.27,0.2
HCG17d,02:14:07.59,+13:18:23.6,33.531625,13.306555555555553,,17487,0.058331,6.8E-5,,0.18,0.18
HCG17e,02:14:04.21,+13:19:08.6,33.517541666666666,13.319055555555558,,17976,0.059961,4.74E-4,:,0.11,0.09
HCG20a,02:44:12.07,+26:05:57.8,41.050291666666666,26.09938888888889,,14477,0.04829,1.5E-4,,0.48,0.18
HCG20b,02:44:12.55,+26:06:34.3,41.05229166666667,26.109527777777778,,14424,0.048113,1.4E-4,,0.31,0.17
HCG20c,02:44:13.62,+26:06:20.2,41.05675,26.10561111111111,,15032,0.050141,1.5E-4,,0.31,0.28
HCG20e,02:44:16.74,+26:06:10.3,41.06974999999999,26.102861111111107,,14312,0.04774,1.63E-4,,0.18,0.14
HCG20f,02:44:17.18,+26:06:40.8,41.07158333333333,26.111333333333334,,14280,0.047633,2.07E-4,,0.21,0.1
HCG21a,02:45:18.02,-17:42:30.1,41.32508333333334,-17.70836111111111,,7552,0.025191,3.3E-5,,1.8,0.6
HCG21b,02:45:36.07,-17:41:20.2,41.400291666666675,-17.688944444444445,,7293,0.024327,8.3E-5,,1.7,0.7
HCG21c,02:44:53.67,-17:39:32.9,41.223625000000006,-17.659138888888894,,7453,0.024861,8.7E-5,,1.8,1.3
HCG21d,02:45:29.57,-17:32:32.2,41.37320833333333,-17.542277777777777,,8715,0.02907,1.5E-4,,0.9,0.8
HCG21e,02:45:22.43,-17:31:59.4,41.34345833333333,-17.533166666666666,,8819,0.029417,1.1E-4,,0.9,0.6
HCG23a,03:06:56.02,-09:32:39.0,46.73341666666667,-9.544166666666666,,4869,0.016241,5.0E-5,,1.3,0.3
HCG23b,03:07:09.46,-09:35:33.6,46.78941666666667,-9.592666666666666,,4877,0.016268,3.7E-5,,1.5,1.1
