# col1          imagen             ra_1         dec_1       run  rerun camCol field colc_g     colc_i     colc_r     colc_u     colc_z     rowc_g     rowc_i     rowc_r     rowc_u     rowc_z     CIG  RA_AMIGA DEC_AMIGA MB   MBcorr side(arcmin)
 CIG0013_g.sex CIG0013_g.fits  4.05555303   10.33114946 7880 301   4      69    1196.20874 1197.61951 1197.6416  1199.12634 1195.79785 1416.17944 1409.14465 1406.62671 1412.33081 1412.2049 13   4.06196  10.3321   14.7 13.63  5.57264     
 CIG0019_g.sex CIG0019_g.fits      99.         99.      9999 999   9      999      99.        99.        99.         99.       99.        99.        99.        99.         99.       99.    19   6.06754  14.2369   99.0 99.0   4.38592                       
 CIG0078_g.sex CIG0078_g.fits  29.53554738  2.06430449  7717 301   3      527   1982.34253 1979.65601 1980.13879 1982.80896 1980.97888 84.091431  77.336708  74.080154  79.020882  82.26223  78   29.5353  2.06436   15.1 14.06  5.47092     
 CIG0080_g.sex CIG0080_g.fits  29.83148843  19.00766391 7913 301   5      145   911.090149 912.415649 911.318115 912.361572 910.215698 1311.80798 1301.54407 1300.11121 1309.35559 1306.4193 80   29.8323  19.0076   11.3 10.66  18.28352    
 CIG0084_g.sex CIG0084_g.fits  30.62916793  11.09299466 7773 301   3      510   82.31646   78.300285  79.58091   82.835426  79.468697  1434.27808 1424.48621 1421.6366  1431.09058 1429.5758 84   30.6292  11.0933   14.7 14.22  5.42076     
 CIG0095_g.sex CIG0095_g.fits  33.83702027  22.00518021 4843 301   3      152   1980.09143 1977.36035 1978.40222 1979.88904 1978.38892 254.071671 247.003281 247.517197 248.235229 251.81962 95   33.8359  22.0065   15.6 13.66  6.1668      
 CIG0189_g.sex CIG0189_g.fits 111.64746088 43.29634937 4294 301   5      20    76.266769  78.802773  79.280312  77.608665  76.867233  720.849976 714.245667 710.67688  715.655884 718.645691 189  111.647  43.2961   14.3 13.96  8.39576     
 CIG0237_g.sex CIG0237_g.fits 123.48847355 52.64852974 4208 301   3      140   1951.50146 1949.69067 1951.12524 1951.58069 1949.78772 513.907166 506.446564 503.550629 506.615387 509.294312 237  123.488  52.6481   15.4 13.7   11.6966     
 CIG0285_g.sex CIG0285_g.fits 132.29909668 60.22126994 4208 301   5      200   1663.34607 1665.71399 1663.70068 1662.64929 1663.82898 215.650955 210.448334 206.281418 209.800934 213.908539 285  132.299  60.2211   12.8 11.61  17.78524    
 CIG0292_g.sex CIG0292_g.fits 134.87695739 44.91389919 2863 301   3      87    120.819099 119.702629 122.211166 123.471413 119.899284 1312.50562 1305.92761 1302.86023 1306.54639 1311.1825  292  134.877  44.9143   12.3 11.84  11.72356    
 CIG0309_g.sex CIG0309_g.fits      99.         99.      9999 999   9      999      99.        99.        99.         99.       99.        99.        99.        99.         99.       99.     309  137.584  7.03758   99.0 99.0   16.9848                       
 CIG0324_g.sex CIG0324_g.fits 140.51114815 50.97665888 2137 301   3      267   1709.00269 1712.61804 1715.1626  1710.59351 1709.62952 1379.02441 1373.39929 1370.53735 1373.91357 1377.6283  324  140.509  50.9759   9.9  9.33   27.6096     
 CIG0347_g.sex CIG0347_g.fits     99.         99.      9999 999   9      999    99.        99.        99.         99.       99.        99.        99.        99.         99.       99.     347  143.041  21.4997   99.0 99.0   47.7596                       
 CIG0400_g.sex CIG0400_g.fits 152.08605461 31.86270151 4518 301   1      158   1651.83826 1648.52063 1650.2804  1650.83118 1649.7179  1417.76111 1408.49573 1405.33691 1413.22034 1413.02246 400  152.086  31.8631   13.5 12.27  12.38968    
